Name,Team,Sport,Gold,Silver,Bronze,Image
A. Albert,Union des Socits Franais de Sports Athletiques,Rugby,1,0,0,
A. Dubois,Gitana-2,Sailing,0,1,1,
"A. Joshua ""Josh"" West",Great Britain,Rowing,0,1,0,
A. Lawry,Cornwall,Rugby,0,1,0,
A. M. Woods,St. Louis Amateur Athletic Association,Lacrosse,0,1,0,
A. R. Upton,Brussels Swimming and Water Polo Club,Water Polo,0,1,0,
A. Willcocks,Cornwall,Rugby,0,1,0,
Aage Birch,Denmark,Sailing,0,1,0,
Aage Ernst Larsen,Denmark,Rowing,0,1,0,
Aage Hy Pedersen,Hi-Hi,Sailing,0,1,0,
Aage Ingvar Eriksen,Norway,Wrestling,0,1,0,
Aage Jrgen Christian Andersen,Denmark,Football,1,0,0,
Aage Jrgensen,Denmark,Gymnastics,0,1,0,
Aage Marius Hansen,Denmark,Gymnastics,0,0,1,
Aage Valdemar Harald Frandsen,Denmark,Gymnastics,1,0,0,
Aage Walther,Denmark,Gymnastics,0,1,0,
"Aagje ""Ada"" Kok (-van der Linden)",Netherlands,Swimming,1,2,0,
"Aale Maria Tynni (-Pirinen, -Haavio)",Finland,Art Competitions,1,0,0,
Aarne Anders Pohjonen,Finland,Gymnastics,0,0,1,
Aarne Eemeli Reini,Finland,Wrestling,0,1,0,
Aarne Eliel Tellervo Pelkonen,Finland,Gymnastics,0,1,0,
Aaron Brown,Canada,Athletics,0,0,1,
Aaron Egbele,Nigeria,Athletics,0,0,1,
Aaron Gate,New Zealand,Cycling,0,0,1,
Aaron John McIntosh,New Zealand,Sailing,0,0,1,
Aaron Michael Miller,United States,Ice Hockey,0,1,0,
Aaron Nguimbat,Cameroon,Football,1,0,0,
Aaron Nigel Armstrong,Trinidad and Tobago,Athletics,1,0,0,
Aaron Ross Flood,United States,Wrestling,0,1,0,
Aaron Russell,United States,Volleyball,0,0,1,
Aaron Wells Peirsol,United States,Swimming,5,2,0,
"Aartje Elisabeth ""Adrie"" Lasterie",Netherlands,Swimming,0,1,0,
Aas Mmmdov,Azerbaijan,Boxing,0,0,1,
Aavo Pikkuus,Soviet Union,Cycling,1,0,0,
Abas Arslanagi,Yugoslavia,Handball,1,0,0,
Abbas Jadidi,Iran,Wrestling,0,1,0,
Abbey Weitzeil,United States,Swimming,1,1,0,
Abbos Atayev,Uzbekistan,Boxing,0,0,1,
Abby Bishop,Australia,Basketball,0,0,1,
Abdel Aal Ahmed Rashid,Egypt,Wrestling,0,0,1,
Abdel Hak Achik,Morocco,Boxing,0,0,1,
Abdel Moneim El-Gindy,United Arab Republic,Boxing,0,0,1,
"Abdelghani ""Ghani"" Yalouz",France,Wrestling,0,1,0,
Abderrahmane Hammad Zaheer,Algeria,Athletics,0,0,1,
Abdon Pamich,Italy,Athletics,1,0,1,
Abdoul Razak Issoufou Alfaga,Niger,Taekwondo,0,1,0,
"Abdoulaye ""Abdou"" Sye Papa",France,Athletics,0,0,1,
Abdul Hamid,Pakistan,Hockey,1,2,0,
Abdul Rashid,Pakistan,Hockey,1,1,1,
Abdul Rashid Al-Hasan,Pakistan,Hockey,1,0,0,
Abdul Waheed Khan,Pakistan,Hockey,1,0,0,
Abdul Wahid Aziz,Iraq,Weightlifting,0,0,1,
Abdul-Rashid Bulayevich Sadulayev,Russia,Wrestling,1,0,0,
Abdullah Al-Rashidi,Individual Olympic Athletes,Shooting,0,0,1,
Abdullah Movahed Ardabili,Iran,Wrestling,1,0,0,
Abdullah Waleed Al-Sharbatly,Saudi Arabia,Equestrianism,0,0,1,
Abdullahi Shehu,Nigeria,Football,0,0,1,
Abdullo Tovashevich Tangriyev,Uzbekistan,Judo,0,1,0,
Abebe Bikila,Ethiopia,Athletics,2,0,0,
Abel Kiprop Mutai,Kenya,Athletics,0,0,1,
Abel Kirui,Kenya,Athletics,0,1,0,
Abel Ricardo Laudonio,Argentina,Boxing,0,0,1,
Abel Richard Kiviat,United States,Athletics,1,1,0,
Abelardo Fernndez Antua,Spain,Football,1,0,0,
Abelardo Olivier,Italy,Fencing,2,1,0,
Abhinav Bindra,India,Shooting,1,0,0,
"Abigail Louise ""Abby"" Johnston",United States,Diving,0,1,0,
Abiodun Olugbemiga Obafemi,Nigeria,Football,1,0,0,
"Abraham ""Bram"" Charit",Netherlands,Weightlifting,0,0,1,
Abraham Kurland,Denmark,Wrestling,0,1,0,
Abraham Olano Manzano,Spain,Cycling,0,1,0,
"Abraham Robertus ""Bram"" Lomans",Netherlands,Hockey,2,0,0,
Abramo Albini,Italy,Rowing,0,0,1,
Abutaleb Talebi Gorgori,Iran,Wrestling,0,0,1,
Ace Rusevski,Yugoslavia,Boxing,0,0,1,
Acer Gary Nethercott,Great Britain,Rowing,0,1,0,
Achille Charles Marcel Tribouillet,France,Water Polo,0,0,1,
Achille Eugne Pollet,France,Gymnastics,0,0,1,
Achille Piccini,Italy,Football,1,0,0,
Achim Hill,Germany,Rowing,0,2,0,
Ada Nabila Romn Arroyo,Mexico,Archery,0,1,0,
Ada Smith (-Miga),Great Britain,Gymnastics,0,0,1,
Adalberts Bubenko,Latvia,Athletics,0,0,1,
Adam Andrzej Wiercioch,Poland,Fencing,0,1,0,
Adam Artur Krzesiski,Poland,Fencing,0,1,1,
Adam Beattie Gunn,United States,Athletics,0,1,0,
Adam Dariusz Seroczyski,Poland,Canoeing,0,0,1,
Adam David Commens,Australia,Hockey,0,0,1,
Adam David Vernon Foote,Canada,Ice Hockey,1,0,0,
Adam Enright,Canada,Curling,1,0,0,
Adam George Peaty,Great Britain,Swimming,1,1,0,
Adam Henryk Maysz,Poland,Ski Jumping,0,3,1,
Adam Joseph Van Koeverden,Canada,Canoeing,1,2,1,
Adam Joseph Vella,Australia,Shooting,0,0,1,
Adam Khamidovich Saytiyev,Russia,Wrestling,1,0,0,
Adam Kreek,Canada,Rowing,1,0,0,
Adam Marek Korol,Poland,Rowing,1,0,0,
Adam McCright Nelson,United States,Athletics,1,1,0,
Adam Micha Lisewski,Poland,Fencing,0,0,1,
Adam Perry Wright,United States,Water Polo,0,1,0,
Adam Richard Deadmarsh,United States,Ice Hockey,0,1,0,
Adam Robert Pine,Australia,Swimming,1,2,0,
Adam Ryszard Robak,Poland,Fencing,0,0,1,
Adam Sandurski,Poland,Wrestling,0,0,1,
Adam Smelczyski,Poland,Shooting,0,1,0,
Adam Stanisaw Pape,Poland,Fencing,0,0,2,
Adam Tomasiak,Poland,Rowing,0,0,1,
Adam Wheeler,United States,Wrestling,0,0,1,
Adam ukasz Krlikiewicz,Poland,Equestrianism,0,0,1,
Addis Abebe,Ethiopia,Athletics,0,0,1,
Ade Franci Alleyne-Forte,Trinidad and Tobago,Athletics,0,0,1,
Adelaide T. Lambert (-Ballard),United States,Swimming,1,0,0,
"Adelheid ""Heidi"" Robbiani (Hauri-)",Switzerland,Equestrianism,0,0,1,
"Adelheid ""Heidi"" Schmid (-Grundmann)",Germany,Fencing,1,0,1,
Adelina Dmitriyevna Sotnikova,Russia,Figure Skating,1,0,0,
Adelina Maria Cojocariu-Bogus,Romania,Rowing,0,0,1,
Adelmo Bulgarelli,Italy,Wrestling,0,0,1,
Adem Bereket,Turkey,Wrestling,0,0,1,
Ademir Roque Kaefer,Brazil,Football,0,2,0,
Adenzia Aparecida Ferreira da Silva,Brazil,Volleyball,1,0,0,
Adesio Rafael Lombardo Rossi,Uruguay,Basketball,0,0,1,
Adhemar Canavessi,Uruguay,Football,1,0,0,
Adhemar Ferreira da Silva,Brazil,Athletics,2,0,0,
Adiel Palma Lpez,Cuba,Baseball,1,1,0,
Adil Atan,Turkey,Wrestling,0,0,1,
Adil Candemir,Turkey,Wrestling,0,1,0,
Adilbek Sabitovich Niyazymbetov,Kazakhstan,Boxing,0,2,0,
Adla Skorov-Bruns,Czech Republic,Shooting,0,0,1,
Adlan Abuyevich Varayev,Soviet Union,Wrestling,0,1,0,
Admir Smaji,Yugoslavia,Football,0,0,1,
"Adolf ""Adi"" Kainz",Austria,Canoeing,1,0,0,
Adolf Bergman,Sweden,Tug-Of-War,1,0,0,
Adolf Dirk Coenraad van der Voort van Zijp,Netherlands,Equestrianism,3,0,0,
Adolf Gustinius Nilsen,Norway,Rowing,0,0,1,
Adolf Hoch,Austria,Art Competitions,1,0,0,
Adolf Koxeder,Austria-1,Bobsleigh,0,1,0,
Adolf Laudon,Austria,Football,0,1,0,
Adolf Mller,Switzerland,Wrestling,0,0,1,
Adolf Mller,Favorite Hammonia-3,Rowing,0,0,1,
Adolf Rieger,Germany,Wrestling,0,1,0,
Adolf Seger,West Germany,Wrestling,0,0,2,
Adolf Spinnler,Switzerland,Gymnastics,1,0,1,
Adolf Stockhausen,Frankfurt Club,Rugby,0,1,0,
Adolf Valentin Lindfors,Finland,Wrestling,1,0,0,
Adolf Wagner,Germany,Weightlifting,0,0,1,
Adolfna Tkakov-Taov,Czechoslovakia,Gymnastics,0,2,0,
"Adolfo ""Adolphe"" Mengotti Arniz",Switzerland,Football,0,1,0,
Adolfo Baloncieri,Italy,Football,0,0,1,
Adolfo Consolini,Italy,Athletics,1,1,0,
Adolfo Horta Martnez,Cuba,Boxing,0,1,0,
Adolfo Tunesi,Italy,Gymnastics,1,0,0,
Adolph Gustav Kiefer,United States,Swimming,1,0,0,
Adolphe Bernard,Socit Nautique de Bayonne-1,Rowing,0,0,1,
Adolphe Bernard,Socit Nautique de Bayonne-2,Rowing,0,0,1,
Adolphe Gaston Ragueneau,Racing Club de France,Athletics,0,1,0,
Adolphe Jaurguy,France,Rugby,0,1,0,
Adolphe Joseph Henri Goemaere,Belgium,Hockey,0,0,1,
Adolphe Ren Bousquet,France,Rugby,0,2,0,
Adolphe Reymond,Switzerland,Football,0,1,0,
Adriaan Johan Louis Katte,Netherlands,Hockey,0,1,0,
Adrian Calero Monger,Australia,Rowing,0,0,1,
Adrian Charles Ellison,Great Britain,Rowing,1,0,0,
Adrian Cosma,Romania,Handball,0,1,2,
Adrian David Moorhouse,Great Britain,Swimming,1,0,0,
Adrian Delano Dantley,United States,Basketball,1,0,0,
Adrian Edward Zieliski,Poland,Weightlifting,1,0,0,
Adrian Howard Smith,United States,Basketball,1,0,0,
Adrian Jardine,Great Britain,Sailing,0,0,1,
Adrian Mark Aucoin,Canada,Ice Hockey,0,1,0,
Adrian Mark Burnside,Australia,Baseball,0,1,0,
Adrian Neil Adams,Great Britain,Judo,0,2,0,
Adrian Peter Metcalfe,Great Britain,Athletics,0,1,0,
Adrian Philip Parker,Great Britain,Modern Pentathlon,1,0,0,
Adrian Simion,Romania,Handball,0,0,1,
"Adriana ""Adrianinha"" Moiss Pinto",Brazil,Basketball,0,0,1,
"Adriana ""Diane"" van der Plaats",Netherlands,Swimming,0,1,0,
Adriana Aparecida dos Santos,Brazil,Basketball,0,1,1,
Adriana Brando Behar,Brazil-1,Beach Volleyball,0,2,0,
Adriana Carmona Gutirrez,Venezuela,Taekwondo,0,0,1,
Adriana Chelariu-Bazon,Romania,Rowing,0,3,1,
"Adriana Johanna ""Ria"" Visser",Netherlands,Speed Skating,0,1,0,
Adriana Ramos Samuel,Brazil-2,Beach Volleyball,0,1,1,
Adriana Vladimirova Dunavska,Bulgaria,Rhythmic Gymnastics,0,1,0,
Adriana dos Santos Arajo,Brazil,Boxing,0,0,1,
Adriano Frassinelli,Italy-1,Bobsleigh,0,1,0,
"Adrianus ""Janus"" van Merrienboer",Netherlands,Archery,1,0,0,
"Adrianus Cornelis ""Janus"" Theeuwes",Netherlands,Archery,1,0,0,
"Adrianus Egbert Willem ""Arie"" de Jong",Netherlands,Fencing,0,0,5,
"Adrianus Gerardus ""Arie"" Bieshaar",Netherlands,Football,0,0,1,
"Adrianus Jacobus ""Janus"" Braspennincx",Netherlands,Cycling,0,1,0,
"Adrianus Lambertus Joseph ""Bob"" Maas",Netherlands,Sailing,0,1,0,
"Adrianus Lambertus Joseph ""Bob"" Maas",Bem II,Sailing,0,0,1,
"Adrianus Lambertus Joseph ""Bob"" Maas",Starita,Sailing,0,0,1,
"Adrie ""Ard"" Schenk",Netherlands,Speed Skating,3,1,0,
Adrien Dipanda,France,Handball,0,1,0,
Adrien Eugne Joseph Max Orban,Royal Club Nautique de Gand,Rowing,0,1,0,
Adrien Gry Rommel,France,Fencing,2,0,0,
Adrien Hardy,France,Rowing,1,0,0,
Adrien Louis Albert Vandelle,France,Military Ski Patrol,0,0,1,
Adrien Plavsic,Canada,Ice Hockey,0,1,0,
Adrienne Elizabeth  Martelli,United States,Rowing,0,0,1,
Aeriwentha Mae Faggs (-Starr),United States,Athletics,1,0,1,
Aernout van Lennep,Netherlands,Equestrianism,0,1,0,
Afanase Sciotnic,Romania,Canoeing,0,1,1,
Afanasijs Kuzmins,Soviet Union,Shooting,1,0,0,
Afanasijs Kuzmins,Latvia,Shooting,0,1,0,
Afonso de Azevedo vora,Brazil,Basketball,0,0,1,
Afrnio Antnio da Costa,Brazil,Shooting,0,1,1,
Agafia Orlov-Buhaev-Constantin,Romania,Canoeing,1,0,0,
Agata Ewa Wrbel,Poland,Weightlifting,0,1,1,
"Agathon ""Aat"" de Roos",Netherlands,Hockey,0,0,1,
Ageeth Boomgaardt,Netherlands,Hockey,0,1,1,
Agnes Geraghty (-McAndrews),United States,Swimming,0,1,0,
Agnes Osazuwa (-Olatunji),Nigeria,Athletics,0,0,1,
Agneta Monica Andersson,Sweden,Canoeing,3,2,2,
Agnete Synnve Carlsen,Norway,Football,0,0,1,
Agnieszka Ewa Czopek (-Sadowska),Poland,Swimming,0,0,1,
Agnieszka Jadwiga Wieszczek-Kordus,Poland,Wrestling,0,0,1,
Agnieszka Kobus,Poland,Rowing,0,0,1,
Agostino Abbagnale,Italy,Rowing,3,0,0,
Agostino Straulino,Merope,Sailing,1,0,0,
Agostino Straulino,Merope III,Sailing,0,1,0,
"Agustina Soledad ""Sole"" Garca",Argentina,Hockey,0,1,2,
Agustn Alejandro Mazzilli,Argentina,Hockey,1,0,0,
Agustn Sancho Agustina,Spain,Football,0,1,0,
Agustn Zaragoza Reyna,Mexico,Boxing,0,0,1,
Ahmad Abughaush,Jordan,Taekwondo,1,0,0,
Ahmed Ismail El Shamy,Egypt,Boxing,0,0,1,
Ahmed Muhammad Boughera El Ouafi,France,Athletics,1,0,0,
Ahmed Naseer Bunda,Pakistan,Hockey,1,1,0,
Ahmed Salah Houssein,Djibouti,Athletics,0,0,1,
Ahmed Sher Khan,India,Hockey,1,0,0,
Ahmed bin Hasher Al-Maktoum,United Arab Emirates,Shooting,1,0,0,
Ahmet Ayk,Turkey,Wrestling,1,1,0,
Ahmet Bilek,Turkey,Wrestling,1,0,0,
Ahmet Kirei (Mersinli-),Turkey,Wrestling,1,0,1,
Ahsan Muhammad Khan,India,Hockey,1,0,0,
Ai Fukuhara,Japan,Table Tennis,0,1,1,
Ai Otomo-Yamamoto,Japan,Volleyball,0,0,1,
Ai Shibata,Japan,Swimming,1,0,0,
Aida Vladimirovna Shanayeva,Russia,Fencing,1,1,0,
Aigars Fadejevs,Latvia,Athletics,0,1,0,
Aika Hakoyama,Japan,Synchronized Swimming,0,0,1,
"Aikaterini ""Ekaterini"" Stefanidi",Greece,Athletics,1,0,0,
Aikaterini Thanou,Greece,Athletics,0,1,0,
Aileen Aletha Meagher,Canada,Athletics,0,0,1,
Aileen Muriel Riggin (-Soule),United States,Diving,1,1,0,
Aileen Muriel Riggin (-Soule),United States,Swimming,0,0,1,
Aim Joseph Haegeman,Belgium,Equestrianism,1,0,0,
Aimilia Tsoulfa,Greece,Sailing,1,0,0,
Aimo-Rhys Heilmann,Germany,Swimming,0,0,1,
"Aina Berg (-Brolin, -Heinze)",Sweden,Swimming,0,0,2,
Aino-Kaisa Saarinen,Finland,Cross Country Skiing,0,2,3,
Ainrs Kovals,Latvia,Athletics,0,1,0,
Aitor Iaki Etxaburu Castro,Spain,Handball,0,0,1,
Aivars Lazdenieks,Soviet Union,Rowing,0,1,0,
Aja L. Evans,United States-2,Bobsleigh,0,0,1,
Ajitpal Singh Kular,India,Hockey,0,0,2,
Ak'ak'i Chachua,Georgia,Wrestling,0,0,1,
Akakios Kakiasvili,Greece,Weightlifting,2,0,0,
Akakios Kakiasvili,Unified Team,Weightlifting,1,0,0,
Akeem Haynes,Canada,Athletics,0,0,1,
Akhtar Hussain,Pakistan,Hockey,0,1,0,
Akhtar Hussain,India,Hockey,1,0,0,
Akhtar Rasool Kamboh,Pakistan,Hockey,0,1,1,
Akhtarul Islam,Pakistan,Hockey,0,1,0,
Aki Takayama,Japan,Synchronized Swimming,0,0,1,
Aki Tapani Karvonen,Finland,Cross Country Skiing,0,1,2,
"Aki-Petteri Arvid ""Aki"" Berg",Finland,Ice Hockey,0,1,1,
Akihiro Togo,Japan,Baseball,0,0,1,
Akiko Kawase,Japan,Synchronized Swimming,0,0,1,
Akilles Eero Johannes Jrvinen,Finland,Athletics,0,2,0,
Akinobu Osako,Japan,Judo,0,0,1,
Akinori Nakayama,Japan,Gymnastics,6,2,2,
Akio Kaminaga,Japan,Judo,0,1,0,
Akio Soda,Japan,Hockey,0,1,0,
Akira Kono,Japan,Gymnastics,0,1,0,
Akira Kudo,Japan,Wrestling,0,0,1,
Akira Kuroiwa,Japan,Speed Skating,0,0,1,
Akira Ota,Japan,Wrestling,0,2,0,
Akito Watabe,Japan,Nordic Combined,0,1,0,
Akitsugu Konno,Japan,Ski Jumping,0,1,0,
Aksel Bonde Hansen (Bonde-),Denmark,Rowing,0,1,0,
Aksel Henry Hansen,Norway,Gymnastics,0,0,1,
Aksel Lund Svindal,Norway,Alpine Skiing,1,1,1,
Aksel Srensen,Denmark,Gymnastics,0,1,0,
"Aku ""August"" Eskelinen",Finland,Military Ski Patrol,0,1,0,
Akzhurek Dostykovich Tanatarov,Kazakhstan,Wrestling,0,0,1,
Al-Tahar Al-Tamsamani,Morocco,Boxing,0,0,1,
Alaaeldin Ahmad El-Sayyid Abouelkassem,Egypt,Fencing,0,1,0,
Aladr Gerevich (-Gerei),Hungary,Fencing,7,1,2,
Aladr Kovcsi,Hungary,Modern Pentathlon,1,0,0,
Alain (Ali-) Mimoun Ould Kacha,France,Athletics,1,3,0,
Alain Andr Louis Edmond Bernard,France,Swimming,2,1,1,
Alain Bondue,France,Cycling,0,1,0,
Alain Calmat,France,Figure Skating,0,1,0,
Alain Herms Robert Mosconi,France,Swimming,0,0,1,
Alain Jean Jacques Lebas,France,Canoeing,0,1,0,
Alain Moineau,France,Cycling,0,0,1,
Alain Portes,France,Handball,0,0,1,
Alajos (Aljoz) Szokoly (-Szokol),Hungary,Athletics,0,0,1,
Alajos Keser,Hungary,Water Polo,1,1,0,
"Alan ""Al"" Greene",United States,Diving,0,0,1,
Alan Anatolyevich Khugayev,Russia,Wrestling,1,0,0,
Alan Bannister,Great Britain,Cycling,0,1,0,
Alan Blair Thompson,New Zealand,Canoeing,2,0,0,
Alan Boone Helffrich,United States,Athletics,1,0,0,
Alan C. Morgan,Angelita,Sailing,1,0,0,
Alan Campbell,Great Britain,Rowing,0,0,1,
Alan Chester Valentine,United States,Rugby,1,0,0,
Alan Edward Mouchawar,United States,Water Polo,0,1,0,
Alan Frank Williams,United States,Rugby,1,0,0,
Alan Geoffrey Grover,Australia,Rowing,0,1,0,
Alan Gregov,Croatia,Basketball,0,1,0,
Alan Henry Noble,England-1,Hockey,1,0,0,
Alan John Barrett,Great Britain,Rowing,0,1,0,
Alan Kemp Warren,Great Britain,Sailing,0,1,0,
Alan Lionel McIntyre,New Zealand,Hockey,1,0,0,
Alan Malcolm Chesney,New Zealand,Hockey,1,0,0,
Alan McClatchey,Great Britain,Swimming,0,0,1,
Alan Michael Forney,United States,Rowing,0,1,0,
Alan Minter,Great Britain,Boxing,0,0,1,
"Alan Morgan ""Al"" Washbond",United States-1,Bobsleigh,1,0,0,
Alan Newton,Great Britain,Cycling,0,0,1,
Alan Peter Pascoe,Great Britain,Athletics,0,1,0,
Alan Robert Ford,United States,Swimming,0,1,0,
Alan Tsagaev,Bulgaria,Weightlifting,0,1,0,
Alan Wharmby Jackson,Great Britain,Cycling,0,1,1,
Alana Olga Blahoski,United States,Ice Hockey,1,0,0,
Alanna Kraus (-Handley),Canada,Short Track Speed Skating,0,1,1,
Alastair Gordon,Australia,Rowing,0,1,0,
Alastair Heathcote,Great Britain,Rowing,0,1,0,
Alastair McCorquodale,Great Britain,Athletics,0,1,0,
Alba Mara Cabello Rodilla,Spain,Synchronized Swimming,0,1,1,
Alba Torrens Salom,Spain,Basketball,0,1,0,
Albano Pera,Italy,Shooting,0,1,0,
"Albert ""Al"" Robinson",United States,Boxing,0,1,0,
"Albert ""Al"" Rossi",United States,Rowing,0,0,1,
"Albert ""Al"" Taylor",Canada,Rowing,0,0,1,
"Albert ""Al"" Young (Jung-)",United States,Boxing,1,0,0,
"Albert ""Albie"" Axelrod",United States,Fencing,0,0,1,
Albert Aleksandrovich Pakeyev,Russia,Boxing,0,0,1,
Albert Alphonse Champoudry,Racing Club de France,Athletics,0,1,0,
Albert Andreyevich Mokeyev,Soviet Union,Modern Pentathlon,1,0,1,
Albert Azaryan,Soviet Union,Gymnastics,3,1,0,
Albert Bachmann,Switzerland,Gymnastics,0,1,1,
Albert Bernard Voorn,Netherlands,Equestrianism,0,1,0,
Albert Bgathy,Austria,Fencing,0,1,0,
"Albert Bond ""Al"" Lambert",Trans-Mississippi Golf Association-2,Golf,0,1,0,
Albert Bosquet,Belgium,Shooting,0,1,0,
Albert Casteleyns,Belgium,Water Polo,0,0,1,
Albert Charles Gladstone,Leander Club-1,Rowing,1,0,0,
Albert Clinton Tyler,United States,Athletics,0,1,0,
"Albert Conrad ""Al"" Zirkel",United States,Wrestling,0,0,1,
"Albert Cosad ""Al"" White",United States,Diving,2,0,0,
Albert Courquin,France,Shooting,0,1,1,
Albert De Bunn,Belgium,Cycling,0,0,1,
Albert Decaris,France,Art Competitions,1,0,0,
Albert Delbecque,Univ. of Brussels,Football,0,0,1,
Albert Dsir Vandeplancke,France,Water Polo,0,0,1,
Albert Dupouy,France,Rugby,0,1,0,
Albert Duval,Martha-1,Sailing,0,1,1,
Albert Eduard Kusnets,Estonia,Wrestling,0,0,1,
Albert Edward Betts,Great Britain,Gymnastics,0,0,1,
"Albert Edwin ""Bertie"" Hill",Great Britain,Equestrianism,1,0,0,
Albert Ernest Linton,Galt Football Club,Football,1,0,0,
"Albert F. ""Al"" Nasse",Century Boat Club-1,Rowing,1,0,0,
Albert Ferrer Llopis,Spain,Football,1,0,0,
Albert Frits Ruimschotel,Netherlands,Water Polo,0,0,1,
Albert George Hill,Great Britain,Athletics,2,1,0,
Albert Geromini,Switzerland,Ice Hockey,0,0,1,
Albert Giger,Switzerland,Cross Country Skiing,0,0,1,
"Albert Gordon ""Bert"" Duncanson",Canada,Ice Hockey,1,0,0,
Albert H. Venn,St. Louis Amateur Athletic Association,Lacrosse,0,1,0,
Albert Haepers,Belgium,Gymnastics,0,1,0,
Albert Hedderich,West Germany,Rowing,1,0,0,
Albert Helgerud (Thorvaldsen-),Norway,Shooting,2,4,1,
"Albert Henry ""Harry"" Thomas",Great Britain,Boxing,1,0,0,
Albert Hermann Zrner,Germany,Diving,1,1,0,
Albert Ireton,London City Police-1,Tug-Of-War,1,0,0,
Albert Ivanovych Valtin,Soviet Union,Basketball,0,1,0,
Albert James Whittall,Smyrna,Football,0,1,0,
Albert Jean Louis Ayat,France,Fencing,2,0,0,
Albert Jean Martin Grisar,Antwerpia V,Sailing,0,0,1,
"Albert John ""Bert"" McCaffrey",Canada,Ice Hockey,1,0,0,
Albert Johnston,Galt Football Club,Football,1,0,0,
"Albert Joseph ""Al"" Vande Weghe",United States,Swimming,0,1,0,
Albert Joseph Kempster,Great Britain,Shooting,0,0,2,
Albert L. Schwartz,United States,Swimming,0,0,1,
Albert Lawrence,Jamaica,Athletics,0,1,0,
Albert Leonard Oldman,Great Britain,Boxing,1,0,0,
Albert Louis De Roocker,Belgium,Fencing,0,1,0,
Albert Lovejoy Gutterson,United States,Athletics,1,0,0,
Albert Luque Martos,Spain,Football,0,1,0,
Albert Madrin,Switzerland-1,Bobsleigh,0,0,1,
Albert Marcel Henri Rust,France,Football,1,0,0,
Albert Marius Thvenon,France,Water Polo,0,0,1,
Albert Martin,Hera-1,Sailing,1,0,0,
Albert Meyong Ze,Cameroon,Football,1,0,0,
Albert Michael Krushel,United States,Cycling,0,0,1,
Albert Michant,Brussels Swimming and Water Polo Club,Water Polo,0,1,0,
Albert Michant,Belgium,Water Polo,0,1,0,
Albert Mikhaylovich Demchenko,Russia,Luge,0,3,0,
Albert Pascal Fauvel,France,Archery,0,2,1,
Albert Paul Deborgies,France,Water Polo,1,0,0,
Albert Paul Durant,Belgium,Water Polo,0,2,1,
Albert Paul Mayaud,France,Water Polo,1,0,0,
Albert Paul Mose Weil,Rose Pompon,Sailing,0,1,0,
Albert Per Andersson,Sweden,Gymnastics,1,0,0,
"Albert Percy ""Red"" Henderson",Galt Football Club,Football,1,0,0,
Albert Philippe Taillandier,France,Cycling,1,0,0,
Albert Rocas Comas,Spain,Handball,0,0,1,
"Albert Romo ""Ab"" Renaud",Canada,Ice Hockey,1,0,0,
Albert Sala Moreno,Spain,Hockey,0,1,0,
Albert Saritov,Romania,Wrestling,0,0,1,
Albert Sguin,France,Gymnastics,1,2,0,
Albert Stephan Arnheiter,Ludwigshafener Ruderverein,Rowing,1,0,0,
"Albert Willem ""Ab"" Tresling",Netherlands,Hockey,0,1,0,
Albert Wyckmans,Belgium,Cycling,0,0,1,
Albert mile Reneld Hersoy,France,Gymnastics,0,0,1,
"Albertina Iosifovna ""Berta"" Kolokoltseva (Zlobina-)",Soviet Union,Speed Skating,0,0,1,
"Alberto ""Albert"" Costa Casal",Spain,Tennis,0,0,1,
Alberto Alberani Samaritani,Italy,Water Polo,0,1,0,
Alberto Angelini,Italy,Water Polo,0,0,1,
Alberto Blanco Fernndez,Cuba,Weightlifting,0,0,1,
Alberto Cisolla,Italy,Volleyball,0,1,0,
Alberto Cova,Italy,Athletics,1,0,0,
Alberto Demiddi,Argentina,Rowing,0,1,1,
Alberto Entrerros Rodrguez,Spain,Handball,0,0,1,
Alberto Ghilardi,Italy,Cycling,1,0,0,
Alberto Gilardino,Italy,Football,0,0,1,
Alberto Juantorena Danger,Cuba,Athletics,2,0,0,
Alberto Lombardi,Italy,Equestrianism,0,0,1,
Alberto Marco Giovanni Ghibellini,Italy,Water Polo,0,0,1,
Alberto Marson,Brazil,Basketball,0,0,1,
Alberto Pellegrino,Italy,Fencing,2,2,0,
Alberto Pigaiani,Italy,Weightlifting,0,0,1,
Alberto Radi,Italy,Rowing,0,1,0,
Alberto Ramos Sesma,Mexico,Polo,0,0,1,
Alberto Ruggia,"Marinai della nave da guerra ""Varese""",Rowing,0,0,1,
Alberto Tomba,Italy,Alpine Skiing,3,2,0,
Alberto Urdiales Mrquez,Spain,Handball,0,0,2,
"Alberto Valds Ramos, Sr.",Mexico,Equestrianism,1,0,0,
"Alberto Vldes Lacarra, Jr.",Mexico,Equestrianism,0,0,1,
Alberto Winkler,Italy,Rowing,1,0,0,
Albertson Van Zo Post,United States,Fencing,2,1,2,
"Albertus Stephanus ""Kwagga"" Smith",South Africa,Rugby Sevens,0,0,1,
Albertus Wielsma,Amstel Amsterdam,Rowing,0,0,1,
Albin Georges Lermusiaux,France,Athletics,0,0,1,
Albin Vidovi,Yugoslavia,Handball,1,0,0,
Albina Khamitovna Akhatova,Russia,Biathlon,1,1,3,
Albina Lucy Charlotte Osipowich (-Van Aken),United States,Swimming,2,0,0,
Albn Vermes,Hungary,Swimming,0,1,0,
Albric Collin,Belgium,Art Competitions,1,0,0,
Aldair Nascimento dos Santos,Brazil,Football,0,0,1,
